pred_file,atlas_file,N_stations_matched,N_overlap,mean_ipr_topK,z_kde,r2_spec_inductive
d10_Paris_predictions,world_fr_v_lib_metropole,1361,1361,0.11350099164572136,-8.216757810397606,0.0
d10_inurba-rouen_predictions,world_fr_lovelo_libre_service,124,124,0.04482776174724186,-1.0091155704432255,0.6546245523828056
d10_levelo_inurba_marseille_predictions,world_fr_lev_lo_marseille,228,228,0.05039934374439543,-1.227833831432313,0.2708921460374757
d10_lyon_predictions,world_fr_v_lo_v,462,462,0.12026230550861809,-1.8767363164863284,0.2640222201212522
d10_nantes_predictions,world_fr_naolib,123,123,0.02256907495624441,-3.1963068125432685,0.2698403724926679
d10_toulouse_predictions,world_fr_v_l_toulouse,448,448,0.015956840671799317,-5.7618865359164335,0.43336628984105485
d10_twisto_velolib_caen_predictions,world_fr_twisto_v_lolib,76,76,0.06277583564501649,-1.913422593535398,0.025031839691947
d10_velivert_saint_etienne_predictions,world_fr_v_livert,97,97,0.10383970506433234,2.72938324376681,0.3925990748213195
d10_velo-tbm-bordeaux_predictions,world_fr_le_v_lo_par_tbm,228,228,0.01431297909035395,-2.1172463290679917,0.1933221152634087
d10_velonecy60minutes_annecy_predictions,world_fr_v_lonecy,80,80,0.040285293912450136,-1.4496329205324168,0.6189302269908715
d10_vilvolt_epinal_predictions,world_fr_vilvolt,106,106,0.23720329281228975,3.8399795679778768,0.0
d10_zebullo_predictions,world_fr_zebullo,66,66,0.055149348372399834,-1.1817038102878736,0.34710909774205156
d14_montreal_bixi_predictions,world_ca_bixi_montr_al,717,717,0.146235830911775,-1.393289033172466,0.21951846792951668
d16_london_tfl_predictions,london_tfl,788,788,0.005880108720285645,-12.747587995559863,0.2414576699738361
d3_boston_bluebikes_predictions,boston_bluebikes,493,493,0.01966324106132799,-3.5359695428935165,0.5892249450262974
d3_chicago_divvy_predictions,chicago_divvy,1337,1337,0.020540020314772103,-2.4065046415887537,0.6660750482833113
d3_dc_capitalbikeshare_predictions,dc_capitalbikeshare,765,765,0.14903353483625628,2.0499362775869643,0.1247234516747272
d3_sf_baywheels_predictions,sf_baywheels,552,552,0.016381381648738168,-3.1464352207071085,0.5734872169043492
